user_id,name,review_count,yelping_since
B-OVAq7aQN1aPN3NiFekTg,Wedge,222,2012-05-03 23:21:00
FlXBpK_YZxLo27jcMdII1w,Miriam,186,2008-12-13 09:14:24
4tK3tiB3zggiYudjU9H03g,Patt,1274,2010-08-17 03:31:03
HYQoxBC1y1DGPq6pGP09Tw,Soyoung,1286,2010-01-10 01:01:56
WS8qhWFqToquV40vYOospg,Chloe,32,2008-05-08 15:55:39
D5pHA4ImB6AFcDpi_-fHdQ,Asha,42,2008-06-18 03:13:13
clLKvGH-1oauaInqjp3jkw,Christy,236,2011-10-23 19:47:29
JhBHocI4yDmi2fus7UbKRw,Benjamin,365,2007-08-25 01:33:28
UXcOSMHZM2RPWTgjQbKDJg,Michelle,142,2008-01-12 05:36:34
1-icjsOsrv-zxIvWr2VW0g,Lourdes,296,2009-11-11 18:20:14
